,qb_name,total_starts,cumulative_era_adjusted_elo_value,average_era_adjusted_elo_value,winning_percentage,pct_of_starts_as_best_qb,pct_of_starts_as_top3_qb,pct_of_starts_as_top5_qb
480,Otto Graham,78,4820.342386962214,61.799261371310436,0.782051282051282,0.7051282051282052,0.9358974358974359,0.9871794871794872
588,Steve Young,157,13806.241239553216,87.93784229014787,0.6496815286624203,0.6114649681528662,0.7834394904458599,0.8089171974522293
485,Patrick Mahomes,32,2232.532416683729,69.76663802136653,0.75,0.4375,0.65625,0.75
493,Peyton Manning,292,27441.933650100804,93.97922482911234,0.684931506849315,0.4280821917808219,0.7636986301369864,0.8664383561643836
521,Roger Staubach,131,7764.1684272442235,59.26846127667346,0.732824427480916,0.42748091603053434,0.7099236641221374,0.916030534351145
364,Johnny Unitas,193,9850.797543330256,51.04040177891324,0.6424870466321243,0.32124352331606215,0.5233160621761658,0.6632124352331606
204,Drew Brees,288,24524.46794230652,85.1544025774532,0.5902777777777778,0.3194444444444444,0.7256944444444444,0.7951388888888888
338,Joe Montana,187,15108.239456888332,80.7927243683868,0.7112299465240641,0.3048128342245989,0.7807486631016043,0.8983957219251337
144,Dan Fouts,178,10312.076809792545,57.93301578535137,0.5,0.25280898876404495,0.5224719101123596,0.6573033707865169
226,Fran Tarkenton,250,14813.229720942012,59.25291888376805,0.52,0.244,0.672,0.836
146,Dan Marino,258,17955.57488771436,69.59525150276883,0.6007751937984496,0.24031007751937986,0.6046511627906976,0.7635658914728682
666,Y.A. Tittle,137,5143.676950056247,37.54508722668793,0.5693430656934306,0.22627737226277372,0.5109489051094891,0.7153284671532847
251,George Ratterman,18,279.3599105516934,15.519995030649634,0.5,0.2222222222222222,0.3888888888888889,0.8333333333333334
403,Lamar Jackson,23,682.8072449051267,29.687271517614203,0.8260869565217391,0.21739130434782608,0.30434782608695654,0.34782608695652173
397,Kurt Warner,129,6276.056585387091,48.651601437109235,0.5891472868217055,0.17829457364341086,0.35658914728682173,0.5658914728682171
616,Tom Brady,322,20192.757628300984,62.7104274170838,0.7732919254658385,0.17080745341614906,0.5093167701863354,0.6863354037267081
380,Ken Anderson,178,8206.795411588038,46.1055921999328,0.5224719101123596,0.16853932584269662,0.3595505617977528,0.47191011235955055
511,Rich Gannon,139,5066.176457221884,36.44731264188406,0.5755395683453237,0.16546762589928057,0.28776978417266186,0.381294964028777
3,Aaron Rodgers,189,12962.275420877182,68.583467835329,0.6402116402116402,0.15343915343915343,0.42857142857142855,0.6243386243386243
609,Tobin Rote,120,2587.456866758916,21.5621405563243,0.425,0.14166666666666666,0.4583333333333333,0.6
297,Jeff Garcia,122,5608.755436743247,45.97340521920694,0.4918032786885246,0.13934426229508196,0.30327868852459017,0.5081967213114754
410,Len Dawson,167,6337.382251607338,37.948396716211604,0.592814371257485,0.1377245508982036,0.3532934131736527,0.5089820359281437
259,Greg Landry,99,3127.8656182564428,31.59460220461053,0.4444444444444444,0.13131313131313133,0.43434343434343436,0.5353535353535354
154,Daryle Lamonica,97,1597.4366719610334,16.468419298567355,0.7216494845360825,0.12371134020618557,0.25773195876288657,0.4742268041237113
659,Warren Moon,213,7358.03811255035,34.544779871128405,0.49295774647887325,0.11737089201877934,0.30985915492957744,0.4507042253521127
466,Milt Plum,104,1334.3277550826272,12.830074568102184,0.5384615384615384,0.10576923076923077,0.34615384615384615,0.41346153846153844
362,Johnny Lujack,19,489.95018024722935,25.78685159195944,0.6842105263157895,0.10526315789473684,0.5789473684210527,0.7894736842105263
522,Roman Gabriel,159,5356.367688806886,33.68784709941438,0.5408805031446541,0.10062893081761007,0.2389937106918239,0.4779874213836478
563,Sonny Jurgensen,147,6661.958398934747,45.31944489071256,0.46938775510204084,0.09523809523809523,0.41496598639455784,0.5578231292517006
29,Bert Jones,99,3107.116993843492,31.38502013983325,0.47474747474747475,0.09090909090909091,0.36363636363636365,0.46464646464646464
346,John Brodie,163,4545.522790262378,27.886642885045266,0.4662576687116564,0.0736196319018405,0.25153374233128833,0.3803680981595092
62,Bobby Layne,136,2653.4271132501626,19.510493479780607,0.6102941176470589,0.07352941176470588,0.4411764705882353,0.6470588235294118
78,Brian Sipe,113,2236.1966360050383,19.789350761106533,0.504424778761062,0.07079646017699115,0.23008849557522124,0.336283185840708
190,Don Meredith,87,1378.0305190109675,15.839431252999626,0.5517241379310345,0.06896551724137931,0.1839080459770115,0.27586206896551724
347,John Elway,252,7390.936083070136,29.32911144075451,0.6428571428571429,0.06746031746031746,0.2698412698412698,0.4246031746031746
231,Frankie Albert,30,461.5336445473762,15.384454818245873,0.43333333333333335,0.06666666666666667,0.2,0.8333333333333334
7,Al Dorow,45,187.3787418147179,4.163972040327065,0.4222222222222222,0.06666666666666667,0.17777777777777778,0.3111111111111111
247,George Blanda,107,-560.212156902213,-5.235627634600122,0.514018691588785,0.06542056074766354,0.12149532710280374,0.19626168224299065
422,Mark Rypien,85,2508.089834952927,29.50693923474032,0.611764705882353,0.058823529411764705,0.17647058823529413,0.36470588235294116
598,Terry Bradshaw,177,3872.642695439401,21.879337262369496,0.6836158192090396,0.05649717514124294,0.22598870056497175,0.4293785310734463
499,Randall Cunningham,144,4672.538106221831,32.44818129320716,0.5902777777777778,0.05555555555555555,0.22916666666666666,0.4236111111111111
577,Steve McNair,163,7023.630526099041,43.089757828828475,0.588957055214724,0.05521472392638037,0.2392638036809816,0.44171779141104295
543,Sammy Baugh,20,221.81455655458126,11.090727827729063,0.5,0.05,0.35,0.5
72,Brett Favre,322,13414.431180776424,41.65972416390194,0.6180124223602484,0.046583850931677016,0.2670807453416149,0.4751552795031056
41,Billy Wade,86,2210.1417786126844,25.69932300712424,0.47674418604651164,0.046511627906976744,0.3023255813953488,0.5465116279069767
26,Bart Starr,167,4364.797533374043,26.136512175892474,0.6167664670658682,0.041916167664670656,0.2275449101796407,0.48502994011976047
646,Troy Aikman,180,4484.329983514321,24.912944352857338,0.5833333333333334,0.03888888888888889,0.2611111111111111,0.3888888888888889
155,Daunte Culpepper,104,5013.871977005368,48.21030747120546,0.41346153846153844,0.038461538461538464,0.4230769230769231,0.5384615384615384
